k,inertia,silhouette
2,960.611328125,0.04976111650466919
3,920.1181640625,0.05777802690863609
4,899.1255493164062,0.05018724873661995
5,886.1346435546875,0.04803873971104622
6,874.46826171875,0.04400632902979851
7,864.8995361328125,0.04333225637674332
8,855.053955078125,0.04275847598910332
9,844.142578125,0.04513374716043472
10,836.0776977539062,0.04643348604440689
