label_suffering_type,mean_arc,n_books
existential,-0.0443416524829045,6
intergenerational,-0.07294225806451637,1
moral,-0.12051773809523808,2
philosophy,-0.11507373737373738,1
poetry_existential,-0.21786598870056498,1
poetry_sentimental,-0.10181002577582171,6
stoic,0.19894891534391537,3
